Sentence,Word
,of
,a
,nuclear
,weapons
,program
,and
,facilities
,at
,Khushab
,are
,well
,known
,.
Sentence: 149,The
,American
,Diabetes
,Association
,reports
,the
,disease
,is
,the
,leading
,cause
,of
,new
,cases
,of
,blindness
,among
,adults
,.
Sentence: 150,It
,is
,the
,leading
,cause
,of
,kidney
,failure
,.
Sentence: 151,The
,rate
,of
,amputation
,is
,10
,times
,higher
,among
,those
,who
,suffer
,from
,the
,disease
,.
Sentence: 152,Experts
,say
,those
,who
,learn
,how
,to
,manage
,the
,disease
,early
,","
,can
,live
,healthier
,and
,more
,normal
,lives
,.
Sentence: 153,VOA
,'s
,June
,Soh
,found
,camps
,that
,provide
,children
,with
,this
,chronic
,disease
,a
,positive
,approach
,to
,living
,with
,diabetes
,while
,letting
,them
,just
,be
,kids
,.
Sentence: 154,Amy
,Katz
,Narrates
,.
Sentence: 155,Cuba
,and
,Panama
,have
,said
,they
,will
,restore
,consular
,relations
,","
,months
,after
,Havana
,broke
,ties
,with
,Panama
,City
,for
,pardoning
,four
,men
,convicted
,in
,connection
,with
,an
,assassination
,attempt
,against
,Cuban
,President
,Fidel
,Castro
,.
Sentence: 156,The
,countries
,agreed
,to
,reopen
,their
,consulates
,","
,following
,a
,meeting
,Friday
,between
,Panamanian
,President
,Martin
,Torrijos
,and
,Cuban
,Vice
,President
,Carlos
,Lage
,.
Sentence: 157,The
,meeting
,took
,place
,on
,the
,sidelines
,of
,the
,Ibero-American
,Summit
,in
,San
,Jose
,","
,Costa
,Rica
,","
,where
,heads
,of
,state
,were
,meeting
,to
,discuss
,a
,candidate
,to
,head
,the
,Organization
,of
,American
,States
,and
,other
,regional
,issues
,.
Sentence: 158,Cuba
,severed
,ties
,with
,Panama
,in
,August
,","
,hours
,after
,Panamanian
,President
,Mireya
,Moscoso
,","
,in
,her
,final
,days
,in
,office
,","
,pardoned
,the
,men
,","
,preventing
,their
,extradition
,to
,Cuba
,.
Sentence: 159,They
,were
,convicted
,of
,plotting
,to
,kill
,Mr.
,Castro
,during
,the
,2000
,Ibero-American
,summit
,in
,Panama
,City
,.
Sentence: 160,The
,Israeli
,army
,has
,killed
,a
,Palestinian
,youth
,in
,the
,northern
,Gaza
,Strip
,and
,wounded
,at
,least
,three
,other
,people
,.
Sentence: 161,The
,army
,says
,it
,targeted
,a
,man
,who
,was
,collecting
,a
,rocket
,launcher
,from
,an
,area
,used
,to
,fire
,rockets
,at
,Israel
,recently
,.
Sentence: 162,Palestinian
,medical
,sources
,say
,the
,Israeli
,strike
,killed
,a
,teenager
,.
Sentence: 163,The
,Israeli
,military
,began
,an
,offensive
,in
,Gaza
,after
,militants
,kidnapped
,an
,Israeli
,soldier
,in
,June
,.
Sentence: 164,More
,than
,200
,Palestinians
,have
,been
,killed
,in
,the
,offensive
,.
Sentence: 165,On
,Sunday
,","
,Palestinian
,Prime
,Minister
,Ismail
,Haniyeh
,said
,his
,Hamas-led
,government
,will
,not
,recognize
,Israel
,.
Sentence: 166,He
,said
,an
,Arab
,peace
,plan
,for
,the
,region
,is
,problematic
,because
,it
,requires
,Palestinians
,to
,recognize
,Israel
,in
,exchange
,for
,an
,Israeli
,pullout
,from
,Palestinian
,territories
,.
Sentence: 167,He
,spoke
,after
,a
,week
,of
,deadly
,political
,infighting
,between
,Hamas
,and
,the
,rival
,Fatah
,party
,of
,President
,Mahmoud
,Abbas
,.
Sentence: 168,U.S.
,automaker
,Chrysler
,has
,opened
,a
,$
,570
,million
,engine
,plant
,in
,northern
,Mexico
,.
Sentence: 169,During
,the
,ceremonial
,startup
,of
,the
,Saltillo
,plant
,Friday
,","
,Mexican
,President
,Felipe
,Calderon
,said
,Chrysler
,'s
,sixth
,plant
,in
,Mexico
,will
,create
,700
,jobs
,.
Sentence: 170,Mr.
,Calderon
,said
,Mexico
,has
,become
,a
,worldwide
,leader
,in
,the
,auto
,industry
,.
Sentence: 171,Chrysler
,plans
,to
,build
,its
,new
,fuel-efficient
,Pentastar
,V-6
,engine
,for
,Chrysler
,","
,Dodge
,","
,Jeep
,and
,Ram
,vehicles
,.
Sentence: 172,Mexican
,officials
,say
,the
,new
,plant
,will
,have
,the
,capacity
,to
,build
,"4,40,000"
,engines
,per
,year
,.
Sentence: 173,A
,U.S.
,jury
,has
,found
,that
,drug
,maker
,Merck
,is
,not
,liable
,for
,the
,heart
,attack
,suffered
,by
,a
,man
,taking
,its
,painkiller
,Vioxx
,.
Sentence: 174,The
,New
,Jersey
,jurists
,agreed
,with
,Merck
,that
,job
,stress
,and
,health
,risks
,caused
,the
,60-year
,old
,postal
,worker
,to
,have
,a
,heart
,attack
,four
,years
,ago
,.
Sentence: 175,The
,plaintiff
,argued
,Vioxx
,was
,responsible
,.
Sentence: 176,The
,jury
,also
,rejected
,the
,man
,'s
,claim
,that
,Merck
,failed
,to
,properly
,warn
,users
,about
,the
,drug
,'s
,risks
,.
Sentence: 177,Merck
,withdrew
,the
,popular
,drug
,last
,year
,after
,a
,study
,showed
,it
,doubled
,the
,risk
,of
,heart
,problems
,in
,long-term
,users
,.
Sentence: 178,Merck
,is
,facing
,thousands
,of
,other
,lawsuits
,over
,Vioxx
,.
Sentence: 179,Thursday
,'s
,verdict
,is
,only
,the
,second
,in
,a
,Vioxx
,case
,.
Sentence: 180,In
,the
,first
,","
,Merck
,was
,ordered
,to
,pay
,millions
,of
,dollars
,to
,the
,widow
,of
,a
,Vioxx
,user
,.
Sentence: 181,Merck
,is
,appealing
,that
,decision
,.
Sentence: 182,The
,rumors
,are
,TRUE
,:
,Nicole
,Ritchie
,is
,pregnant
,.
Sentence: 183,Speaking
,to
,ABC
,News
,interviewer
,Dianne
,Sawyer
,","
,the
,25-year-old
,co-star
,of
,TV
,'s
,The
,Simple
,Life
,said
,she
,is
,almost
,four
,months
,along
,in
,her
,pregnancy
,.
Sentence: 184,She
,said
,the
,father
,is
,her
,boyfriend
,","
,Joel
,Madden
,of
,the
,rock
,band
,Good
,Charlotte
,.
Sentence: 185,Ritchie
,also
,spoke
,about
,her
,guilty
,plea
,last
,week
,to
,driving
,under
,the
,influence
,and
,the
,resulting
,four-day
,jail
,sentence
,.
Sentence: 186,""""
,I
,have
,a
,responsibility
,and
,it
,'s
,something
,that
,I
,did
,wrong
,","
,and
,if
,I
,could
,personally
,apologize
,to
,every
,single
,person
,that
,has
,lost
,a
,loved
,one
,from
,drunk
,driving
,","
,I
,would
,","
,""""
,she
,said
,.
Sentence: 187,""""
,And
,unfortunately
,I
,ca
,n't
,","
,but
,this
,is
,my
,way
,of
,paying
,my
,dues
,and
,taking
,responsibility
,and
,being
,an
,adult
,.
,""""
Sentence: 188,The
,interview
,airs
,August
,2
,and
,3
,on
,Good
,Morning
,America
,","
,and
,later
,August
,3
,on
,20/20
,.
Sentence: 189,U.S.
,Senator
,John
,Warner
,of
,the
,southeastern
,state
,of
,Virginia
,","
,a
,prominent
,Republican
,figure
,in
,the
,debate
,over
,the
,war
,in
,Iraq
,","
,says
,he
,will
,retire
,after
,finishing
,his
,term
,in
,2009
,.
Sentence: 190,Warner
,told
,supporters
,outside
,of
,the
,University
,of
,Virginia
,Friday
,that
,he
,will
,not
,seek
,a
,sixth
,term
,in
,the
,2008
,elections
,.
Sentence: 191,The
,former
,chairman
,of
,the
,powerful
,Senate
,Armed
,Services
,Committee
,has
,openly
,criticized
,President
,Bush
,'s
,handling
,of
,the
,war
,in
,Iraq
,.
Sentence: 192,He
,called
,on
,Mr.
,Bush
,earlier
,this
,month
,to
,begin
,withdrawing
,some
,U.S.
,troops
,from
,Iraq
,.
Sentence: 193,His
,retirement
,will
,leave
,open
,what
,would
,have
,been
,a
,relatively
,safe
,seat
,for
,Republicans
,in
,the
,fight
,for
,Senate
,control
,in
,the
,elections
,.
Sentence: 194,Democrats
,will
,now
,have
,a
,better
,chance
,to
,protect
,or
,expand
,their
,one-seat
,majority
,in
,the
,Senate
,.
Sentence: 195,When
,he
,leaves
,office
,","
,the
,80-year-old
,former
,Navy
,secretary
,will
,have
,served
,30
,years
,as
,a
,U.S.
,senator
,.
Sentence: 196,The
,United
,Nations
,says
,December
,'s
,Indian
,Ocean
,tsunami
,caused
,around
,$
,520
,million
,in
,damage
,to
,fishing
,industries
,in
,seven
,of
,the
,worst
,hit
,countries
,.
Sentence: 197,The
,U.N.
,'s
,Food
,and
,Agricultural
,Organization
,(
,FAO
,)
,said
,the
,tsunami
,destroyed
,or
,damaged
,more
,than
,"1,11,000"
,fishing
,vessels
,in
,the
,region
,.
Sentence: 198,It
,said
,the
,loss
,was
,significant
,in
,a
,region
,where
,fishing
,provides
,a
,vital
,source
,of
,food
,.
Sentence: 199,The
,FAO
,'s
,estimate
,includes
,damage
,to
,fishing
,industries
,in
,Indonesia
,","
,Maldives
,","
,Somalia
,","
,Sri
,Lanka
,and
,Thailand
,.
Sentence: 200,The
,agency
,says
,it
,has
,sent
,experts
,to
,help
,rebuild
,fishing
,industry
,infrastructure
,lost
,in
,the
,disaster
,and
,is
,developing
,strategies
,for
,long-term
,recovery
,in
,the
,region
,.
Sentence: 201,Officials
,in
,Indonesia
,say
,another
,person
,has
,died
,from
,bird
,flu
,","
,bringing
,the
,country
,'s
,death
,toll
,from
,the
,disease
,to
,96
,since
,the
,outbreak
,started
,in
,2003
,.
Sentence: 202,The
,latest
,victim
,was
,a
,16-year-old
,girl
,from
,the
,town
,of
,Bekasi
,","
,on
,the
,eastern
,outskirts
,of
,Jakarta
,.
Sentence: 203,Officials
,say
,she
,died
,Tuesday
,.
Sentence: 204,Monday
,","
,officials
,reported
,that
,a
,32-year-old
,woman
,from
,an
,area
,just
,west
,of
,Jakarta
,died
,of
,bird
,flu
,last
,week
,","
,at
,her
,home
,in
,the
,city
,of
,Tangerang
,.
Sentence: 205,A
,statement
,from
,the
,health
,ministry
,said
,the
,woman
,'s
,family
,kept
,chickens
,in
,their
,backyard
,.
Sentence: 206,Humans
,are
,usually
,infected
,with
,bird
,flu
,by
,direct
,contact
,with
,infected
,poultry
,","
,but
,experts
,fear
,the
,H5N1
,virus
,may
,mutate
,into
,a
,form
,easily
,transmitted
,between
,people
,.
Sentence: 207,Scientists
,fear
,such
,a
,mutation
,could
,spark
,a
,global
,pandemic
,with
,a
,potential
,death
,toll
,of
,millions
,.
Sentence: 208,Thailand
,says
,it
,has
,photo
,evidence
,to
,prove
,its
,claim
,that
,Islamic
,militants
,responsible
,for
,violence
,in
,Thailand
,'s
,Muslim-majority
,south
,are
,training
,in
,neighboring
,Malaysia
,.
Sentence: 209,Thai
,Deputy
,Interior
,Minister
,Sutham
,Saengprathum
,says
,the
,photos
,show
,the
,militants
,training
,in
,Malaysia
,'s
,northern
,Kelantan
,state
,","
,which
,borders
,southern
,Thailand
,.
Sentence: 210,He
,said
,if
,Malaysia
,wants
,to
,see
,the
,photos
,","
,Bangkok
,will
,provide
,them
,.
Sentence: 211,Thai
,Prime
,Minister
,Thaksin
,Shinawatra
,has
,said
,he
,believes
,some
,of
,the
,insurgents
,have
,been
,trained
,in
,Malaysia
,","
,Indonesia
,and
,southern
,Thailand
,.
Sentence: 212,Malaysia
,and
,Indonesia
,have
,demanded
,proof
,of
,Bangkok
,'s
,allegations
,.
Sentence: 213,More
,than
,500
,people
,have
,been
,killed
,this
,year
,in
,an
,insurgency
,that
,some
,say
,is
,supported
,by
,extremist
,Muslims
,in
,Indonesia
,and
,Malaysia
,.
Sentence: 214,Anti-Japanese
,protests
,in
,the
,western
,Chinese
,city
,of
,Shanghai
,turned
,violent
,Saturday
,","
,with
,protesters
,pelting
,the
,Japanese
,consulate
,with
,rocks
,","
,bottles
,and
,eggs
,.
Sentence: 215,Several
,thousand
,people
,took
,to
,the
,streets
,of
,Shanghai
,as
,part
,of
,a
,new
,wave
,of
,anti-Japanese
,protests
,over
,Japan
,'s
,bid
,for
,a
,permanent
,seat
,on
,the
,U.N.
,Security
,Council
,and
,Tokyo
,'s
,alleged
,downplaying
,of
,war
,atrocities
,.
Sentence: 216,In
,Beijing
,","
,police
,are
,out
,in
,force
,waiting
,for
,protests
,to
,begin
,in
,the
,capital
,.
Sentence: 217,State
,Councilor
,Tang
,Jiaxuan
,told
,the
,official
,Xinhua
,news
,agency
,that
,China
,'s
,government
,is
,urging
,people
,to
,protest
,in
,a
,calm
,and
,orderly
,manner
,.
Sentence: 218,Japan
,'s
,Foreign
,Minister
,","
,Nobutaka
,Machimura
,","
,arrives
,Sunday
,in
,Beijing
,for
,talks
,with
,his
,Chinese
,counterpart
,","
,Li
,Zhaoxing
,","
,to
,discuss
,relations
,between
,the
,two
,countries
,.
Sentence: 219,Organizers
,of
,the
,2012
,Summer
,Olympics
,in
,London
,have
,promised
,the
,""""
,greenest
,games
,""""
,in
,history
,and
,sought
,to
,soothe
,concerns
,about
,the
,rising
,cost
,of
,the
,event
,.
Sentence: 220,With
,"2,012"
,days
,to
,go
,until
,the
,Games
,get
,under
,way
,","
,organizers
,said
,the
,design
,would
,champion
,low
,waste
,","
,low
,carbon
,emissions
,and
,environmentally
,friendly
,transportation
,.
Sentence: 221,The
,Olympic
,Delivery
,Authority
,has
,promised
,to
,cut
,emissions
,50
,percent
,by
,generating
,energy
,on
,site
,and
,using
,renewable
,energy
,.
Sentence: 222,Prime
,Minister
,Tony
,Blair
,said
,London
,is
,farther
,ahead
,in
,preparations
,at
,this
,stage
,than
,any
,other
,previous
,Olympic
,host
,city
,.
Sentence: 223,The
,British
,government
,wants
,to
,have
,the
,Olympic
,budget
,finalized
,early
,this
,year
,","
,but
,costs
,have
,already
,risen
,substantially
,since
,London
,won
,the
,bid
,in
,July
,of
,2005
,.
Sentence: 224,A
,select
,committee
,report
,due
,Wednesday
,is
,expected
,to
,be
,highly
,critical
,of
,the
,government
,'s
,financing
,of
,the
,Games
,.
Sentence: 225,China
,'s
,giant
,pandas
,have
,been
,on
,endangered
,species
,lists
,for
,nearly
,30
,years
,.
Sentence: 226,There
,are
,only
,about
,"1,600"
,pandas
,still
,living
,in
,the
,wild
,in
,China
,.
Sentence: 227,One
,of
,the
,2008
,Olympic
,mascots
,is
,modeled
,on
,a
,panda
,called
,Jing
,Jing
,.
Sentence: 228,Conservationists
,hope
,she
,will
,help
,draw
,attention
,to
,the
,threats
,facing
,the
,giant
,panda
,--
,one
,of
,China
,'s
,national
,symbols
,.
Sentence: 229,Sam
,Beattie
,reports
,from
,Jing
,Jing
,'s
,home
,in
,Sichuan
,province
,.
Sentence: 230,British
,defense
,officials
,say
,14
,British
,military
,personnel
,have
,been
,killed
,in
,a
,crash
,of
,a
,NATO
,aircraft
,in
,southern
,Afghanistan
,.
Sentence: 231,A
,NATO
,spokesman
,says
,the
,aircraft
,went
,off
,the
,radar
,and
,crashed
,in
,an
,open
,area
,near
,Kandahar
,Saturday
,.
Sentence: 232,Officials
,say
,the
,aircraft
,was
,supporting
,a
,NATO
,mission
,in
,the
,country
,'s
,south
,","
,but
,there
,is
,no
,indication
,of
,enemy
,action
,causing
,the
,crash
,.
Sentence: 233,The
,crash
,comes
,as
,NATO
,forces
,launched
,an
,offensive
,to
,drive
,Taleban
,remnants
,out
,of
,Kandahar
,.
Sentence: 234,Officials
,say
,""""
,Operation
,Medusa
,""""
,is
,aimed
,at
,removing
,the
,Taleban
,threat
,so
,that
,stability
,","
,reconstruction
,and
,development
,can
,be
,achieved
,in
,the
,area
,.
Sentence: 235,Sri
,Lankan
,authorities
,say
,a
,prominent
,Tamil
,journalist
,was
,found
,shot
,dead
,Friday
,in
,Colombo
,","
,hours
,after
,he
,was
,abducted
,by
,several
,attackers
,as
,he
,left
,a
,restaurant
,.
Sentence: 236,Dharmeratnam
,Sivaram
,was
,a
,board
,member
,of
,the
,pro-rebel
,TamilNet
,Web
,site
,and
,a
,columnist
,for
,Sri
,Lanka
,'s
,english
,newspaper
,","
,the
,Daily
,Mirror
,.
Sentence: 237,Mr.
,Sivaram
,'s
,Web
,site
,became
,popular
,for
,ongoing
,reports
,on
,the
,Sri
,Lankan
,civil
,war
,and
,was
,a
,prominent
,supporter
,of
,the
,Tamil
,Tiger
,rebel
,movement
,.
Sentence: 238,Mr.
,Sivaram
,","
,who
,was
,also
,brutally
,attacked
,in
,2001
,","
,was
,found
,near
,a
,lake
,gagged
,with
,gunshot
,wounds
,to
,the
,head
,.
Sentence: 239,No
,one
,claimed
,responsibility
,for
,the
,killing
,.
Sentence: 240,Japan
,and
,North
,Korea
,say
,they
,are
,considering
,a
,resumption
,of
,bilateral
,talks
,as
,part
,of
,efforts
,to
,normalize
,relations
,.
Sentence: 241,Japanese
,media
,reported
,Monday
,that
,the
,two
,countries
,hope
,to
,arrange
,to
,hold
,the
,talks
,in
,Beijing
,in
,early
,November
,.
Sentence: 242,The
,talks
,could
,come
,before
,six-party
,talks
,on
,North
,Korea
,'s
,nuclear
,ambitions
,resume
,.
Sentence: 243,Japan
,and
,North
,Korea
,have
,not
,had
,formal
,bilateral
,talks
,for
,about
,a
,year
,.
Sentence: 244,Tokyo
,and
,Pyongyang
,are
,at
,odds
,over
,North
,Korea
,'s
,nuclear
,weapons
,program
,and
,the
,North
,'s
,kidnapping
,of
,Japanese
,citizens
,in
,the
,1970s
,and
,1980s
,.
Sentence: 245,A
,human
,rights
,group
,has
,accused
,coalition
,forces
,in
,Iraq
,of
,failing
,to
,secure
,evidence
,considered
,vital
,to
,the
,upcoming
,war
,crimes
,trial
,of
,former
,Iraqi
,leader
,Saddam
,Hussein
,.
Sentence: 246,Human
,Rights
,Watch
,","
,in
,a
,report
,released
,Thursday
,","
,said
,coalition
,forces
,failed
,to
,stop
,people
,from
,stealing
,thousands
,of
,Iraqi
,government
,documents
,in
,the
,months
,after
,the
,2003
,invasion
,of
,Iraq
,.
Sentence: 247,The
,group
,also
,accused
,troops
,of
,failing
,to
,stop
,people
,from
,damaging
,several
,mass
,graves
,in
,the
,war-torn
,country
,.
Sentence: 248,The
,Associated
,Press
,quotes
,a
,U.S.
,Defense
,Department
,spokeswoman
,as
,saying
,it
,has
,not
,reviewed
,the
,report
,.
Sentence: 249,Saddam
,Hussein
,was
,arraigned
,in
,July
,at
,a
,U.S.
,military
,base
,on
,the
,outskirts
,of
,Baghdad
,.
Sentence: 250,He
,faces
,charges
,of
,war
,crimes
,","
,genocide
,and
,crimes
,against
,humanity
,.
Sentence: 251,Egypt
,'s
,government
,and
,the
,World
,Health
,Organization
,say
,three
,Egyptian
,children
,have
,been
,hospitalized
,with
,the
,deadly
,form
,of
,avian
,flu
,.
Sentence: 252,The
,children
,come
,from
,different
,parts
,of
,the
,country
,.
Sentence: 253,WHO
,says
,they
,are
,receiving
,treatment
,and
,are
,in
,stable
,condition
,.
Sentence: 254,The
,organization
,says
,the
,children
,had
,a
,history
,of
,contact
,with
,dead
,birds
,.
Sentence: 255,Thirty
,two
,Egyptians
,have
,contracted
,the
,H5N1
,form
,of
,avian
,flu
,.
Sentence: 256,Thirteen
,of
,them
,have
,died
,.
Sentence: 257,Egypt
,has
,had
,the
,largest
,number
,of
,human
,bird
,flu
,cases
,outside
,of
,Asia
,.
Sentence: 258,The
,head
,of
,the
,U.N.
,investigation
,into
,the
,Iraq
,oil-for-food
,program
,says
,Saddam
,Hussein
,illegally
,obtained
,more
,money
,from
,oil
,smuggling
,than
,from
,corruption
,in
,the
,U.N.
,program
,.
Sentence: 259,Former
,U.S.
,Federal
,Reserve
,Chairman
,Paul
,Volcker
,says
,the
,smuggling
,began
,before
,the
,start
,of
,the
,oil-for-food
,program
,","
,and
,was
,known
,to
,the
,United
,Nations
,Security
,Council
,.
Sentence: 260,In
,an
,interview
,with
,the
,U.S.
,government-funded
,alHurra
,television
,station
,","
,Mr.
,Volcker
,said
,there
,is
,a
,lot
,of
,confusion
,about
,how
,much
,money
,Saddam
,obtained
,from
,the
,oil-for-food
,program
,itself
,.
Sentence: 261,He
,refused
,to
,provide
,specific
,estimates
,","
,but
,said
,large
,amounts
,that
,have
,been
,reported
,in
,the
,media
,were
,from
,smuggling
,and
,not
,from
,funds
,diverted
,from
,the
,program
,.
Sentence: 262,The
,United
,Nations
,created
,the
,oil-for-food
,program
,after
,the
,first
,Gulf
,War
,to
,allow
,Iraq
,to
,sell
,oil
,and
,use
,the
,profits
,for
,the
,Iraqi
,people
,'s
,humanitarian
,needs
,.
Sentence: 263,Kyrgyzstan
,'s
,Justice
,Ministry
,says
,four
,people
,","
,including
,parliament
,member
,Tynychbek
,Akmatbayev
,","
,have
,been
,killed
,at
,a
,prison
,near
,Bishkek
,after
,inmates
,took
,them
,hostage
,.
Sentence: 264,Interior
,Minister
,Murat
,Sutalinov
,is
,at
,the
,prison
,to
,head
,negotiations
,with
,the
,inmates
,.
Sentence: 265,The
,ministry
,gave
,no
,other
,details
,.
Sentence: 266,It
,is
,not
,clear
,if
,the
,hostage-takers
,made
,any
,demands
,.
Sentence: 267,Mr.
,Akmatbayev
,was
,involved
,in
,negotiations
,on
,Wednesday
,at
,another
,Kyrgyz
,prison
,where
,a
,riot
,over
,poor
,living
,conditions
,forced
,the
,staff
,to
,evacuate
,earlier
,this
,week
,.
Sentence: 268,That
,prison
,","
,also
,near
,Bishkek
,","
,remained
,surrounded
,by
,security
,forces
,on
,Thursday
,.
Sentence: 269,A
,commercial
,airplane
,taking
,off
,from
,Western
,Europe
,has
,landed
,in
,Iraq
,for
,the
,first
,time
,in
,nearly
,20
,years
,.
Sentence: 270,The
,plane
,","
,operated
,by
,France
,'s
,Aigle
,Azur
,airline
,","
,took
,off
,from
,Charles
,De
,Gaulle
,airport
,in
,Paris
,late
,Saturday
,and
,touched
,down
,at
,Baghdad
,International
,Airport
,early
,Sunday
,.
Sentence: 271,Officials
,said
,this
,first
,flight
,was
,largely
,ceremonial
,","
,and
,that
,most
,of
,the
,passengers
,were
,French
,diplomats
,and
,business
,leaders
,.
Sentence: 272,One
,of
,the
,passengers
,","
,French
,Foreign
,Trade
,Minister
,Anne-Marie
,Idrac
,","
,called
,it
,a
,historic
,day
,for
,cooperation
,between
,France
,and
,Iraq
,.
Sentence: 273,Regular
,service
,between
,Paris
,and
,Baghdad
,is
,not
,expected
,to
,start
,for
,at
,least
,several
,weeks
,.
Sentence: 274,Aigle
,Azur
,is
,just
,one
,of
,a
,number
,of
,airlines
,to
,start
,flying
,to
,Baghdad
,.
Sentence: 275,Etihad
,and
,Emirates
,airlines
,","
,both
,operating
,out
,of
,the
,United
,Arab
,Emirates
,","
,started
,flying
,to
,Baghdad
,earlier
,this
,year
,.
Sentence: 276,A
,new
,government
,report
,shows
,U.S.
,businesses
,added
,a
,moderate
,"1,11,000"
,new
,jobs
,in
,January
,.
Sentence: 277,The
,Labor
,Department
,Friday
,issued
,a
,report
,that
,also
,showed
,the
,U.S.
,unemployment
,rate
,increased
,for
,the
,first
,time
,in
,three
,months
,-
,to
,4.6
,percent
,.
Sentence: 278,According
,to
,the
,report
,","
,American
,workers
,earned
,an
,average
,of
,$
,17.09
,an
,hour
,in
,January
,-
,a
,slight
,increase
,from
,the
,previous
,month
,.
Sentence: 279,Analysts
,say
,the
,Department
,of
,Labor
,report
,will
,help
,ease
,worries
,that
,a
,tight
,labor
,market
,will
,significantly
,inflate
,wages
,and
,costs
,.
Sentence: 280,Earlier
,this
,week
,","
,the
,U.S.
,central
,bank
,decided
,to
,maintain
,a
,key
,interest
,rate
,","
,despite
,the
,risk
,of
,inflation
,.
Sentence: 281,Venezuelan
,President
,Hugo
,Chavez
,has
,denounced
,Colombia
,'s
,defense
,minister
,as
,an
,obstacle
,to
,peace
,and
,a
,pawn
,of
,the
,United
,States
,.
Sentence: 282,Mr.
,Chavez
,reacted
,sharply
,Sunday
,to
,the
,defense
,minister
,'s
,remarks
,about
,a
,meeting
,between
,Mr.
,Chavez
,and
,Colombian
,President
,Alvaro
,Uribe
,.
Sentence: 283,The
,two
,presidents
,met
,Friday
,to
,try
,to
,mend
,ties
,between
,their
,countries
,.
Sentence: 284,After
,the
,meeting
,","
,Colombian
,Defense
,Minister
,Juan
,Manuel
,Santos
,said
,he
,hoped
,Venezuela
,would
,follow
,through
,with
,promises
,made
,during
,the
,meeting
,.
Sentence: 285,During
,a
,televised
,speech
,Sunday
,","
,Mr.
,Chavez
,called
,on
,President
,Uribe
,to
,put
,his
,defense
,minister
,in
,his
,place
,.
Sentence: 286,Tensions
,between
,the
,two
,countries
,rose
,in
,March
,when
,Colombia
,attacked
,a
,rebel
,camp
,in
,Ecuador
,.
Sentence: 287,Venezuela
,responded
,by
,sending
,troops
,to
,the
,Colombian
,border
,.
Sentence: 288,China
,has
,lashed
,out
,at
,a
,U.S.
,report
,critical
,of
,Chinese
,policies
,on
,religious
,freedom
,","
,saying
,such
,criticism
,could
,harm
,U.S.
,-
,China
,relations
,.
Sentence: 289,In
,its
,annual
,report
,issued
,Wednesday
,","
,the
,U.S.
,Commission
,on
,International
,Religious
,Freedom
,said
,China
,continues
,to
,be
,responsible
,for
,pervasive
,and
,severe
,violations
,of
,religious
,freedom
,","
,regularly
,imprisoning
,and
,harassing
,religious
,leaders
,and
,practitioners
,.
Sentence: 290,In
,a
,statement
,Saturday
,Chinese
,Foreign
,Ministry
,spokesman
,Liu
,Jianchao
,accused
,the
,U.S.
,body
,of
,attempting
,to
,interfere
,with
,Chinese
,internal
,affairs
,under
,the
,guise
,of
,religious
,freedom
,.
Sentence: 291,He
,said
,such
,criticism
,runs
,counter
,to
,the
,good
,development
,of
,U.S
,-
,China
,relations
,.
Sentence: 292,Liu
,said
,China
,protects
,the
,religious
,freedom
,of
,Chinese
,citizens
,according
,to
,law
,","
,and
,that
,citizens
,enjoy
,full
,freedom
,of
,religion
,.
Sentence: 293,China
,'s
,communist
,government
,allows
,worship
,only
,in
,state-approved
,and
,state-monitored
,churches
,","
,temples
,and
,mosques
,.
Sentence: 294,People
,who
,worship
,in
,unauthorized
,ways
,are
,subject
,to
,arrest
,.
Sentence: 295,President
,Bush
,has
,issued
,14
,pardons
,to
,convicted
,criminals
,","
,and
,has
,commuted
,the
,prison
,sentences
,of
,two
,others
,.
Sentence: 296,The
,pardons
,","
,announced
,Monday
,","
,include
,no
,high-profile
,names
,.
Sentence: 297,They
,were
,for
,people
,convicted
,of
,such
,acts
,as
,bank
,embezzlement
,","
,making
,FALSE
,statements
,to
,the
,federal
,government
,","
,unlawfully
,killing
,wildlife
,","
,and
,committing
,drug
,offenses
,.
Sentence: 298,Including
,Monday
,'s
,actions
,","
,Mr.
,Bush
,has
,granted
,171
,pardons
,and
,commuted
,eight
,sentences
,while
,U.S.
,president
,.
Sentence: 299,Pardons
,are
,one
,of
,the
,president
,'s
,absolute
,powers
,","
,and
,in
,recent
,years
,it
,has
,become
,typical
,for
,the
,president
,to
,issue
,pardons
,as
,he
,prepares
,to
,leave
,office
,.
Sentence: 300,White
,House
,officials
,say
,he
,made
,the
,pardon
,decisions
,on
,a
,case-by-case
,basis
,","
,and
,will
,continue
,to
,review
,clemency
,requests
,.
Sentence: 301,Uganda
,'s
,government
,and
,rebels
,of
,the
,Lord
,'s
,Resistance
,Army
,are
,nearing
,a
,peace
,deal
,to
,end
,more
,than
,20
,years
,of
,conflict
,.
Sentence: 302,Officials
,close
,to
,the
,negotiations
,say
,an
,accord
,signed
,Friday
,provides
,for
,the
,disarmament
,and
,demobilization
,of
,the
,LRA
,.
Sentence: 303,The
,two
,sides
,signed
,a
,permanent
,cease-fire
,agreement
,last
,Saturday
,during
,peace
,talks
,in
,Sudan
,.
Sentence: 304,However
,","
,there
,is
,still
,uncertainty
,the
,rebels
,will
,sign
,the
,final
,peace
,deal
,until
,rebel
,leader
,Joseph
,Kony
,is
,granted
,immunity
,from
,international
,prosecution
,.
Sentence: 305,Kony
,is
,one
,of
,five
,LRA
,officials
,sought
